keyword,datatype,description,units,source
WLSL2,bool,QC: L2 WLS file check passed,None,L2 PRIMARY Header
PTHDAY,float,Last ThAr Daily power meter measurement,Watts,L0 PRIMARY Header
PTHAU,float,Last ThAr Gold power meter measurement,Watts,L0 PRIMARY Header
PUDAY,float,Last UNe Daily power meter measurement,Watts,L0 PRIMARY Header
PUAU,float,Last UNe Gold power meter measurement,Watts,L0 PRIMARY Header
PLFC,float,Last LFC power meter measurement,Watts,L0 PRIMARY Header
PETAL,float,Last Etalon power meter measurement,Watts,L0 PRIMARY Header
PBRB,float,Last Broadband power meter measurement,Watts,L0 PRIMARY Header
PSOL,float,Last SoCal-CalFib power meter measurement,Watts,L0 PRIMARY Header
PTHDAYT,string,Time of last ThAr Daily power measurement,None,L0 PRIMARY Header
PTHAUT,string,Time of last ThAr Gold power measurement,None,L0 PRIMARY Header
PUDAYT,string,Time of last UNe Daily power measurement,None,L0 PRIMARY Header
PUAUT,string,Time of last UNe Gold power measurement,None,L0 PRIMARY Header
PLFCT,string,Time of last LFC power measurement,None,L0 PRIMARY Header
PETALT,string,Time of last Etalon power measurement,None,L0 PRIMARY Header
PBRBT,string,Time of last Broadband power measurement,None,L0 PRIMARY Header
PSOLT,string,Time of last SoCal-CalFib power measurement,None,L0 PRIMARY Header
TIMEERR,string,NTP time server response,None,L0 PRIMARY Header
VIGNETTE,bool,Dome vignetting,None,L0 PRIMARY Header
STVIGNE,bool,Top shutter vignetting,None,L0 PRIMARY Header
SBVIGNE,bool,Bottom shutter vignetting,None,L0 PRIMARY Header
SBELEV,float,Bottom shutter elevation,deg,L0 PRIMARY Header
STELEV,float,Top shutter elevation,deg,L0 PRIMARY Header
BJDSTD,float,Weighted stddev (over orders) of BJD times,m/s    ,L2 PRIMARY Header
BJDRNG,float,Range(BJD) for non-zero-weight spectral orders,m/s    ,L2 PRIMARY Header
BCVSTD,float,Weighted stddev (over orders) of BCV,sec,L2 PRIMARY Header
BCVRNG,float,Range(BCV) for non-zero-weight spectral orders,sec,L2 PRIMARY Header
datecode,string,"8-digit date code (e.g., 20240101)",None,Derived Keywords
ObsID,string,"Observation ID (e.g., KP.20240101.12345.67)",None,Derived Keywords
L0_filename,string,Full path to L0 file,None,Derived Keywords
D2_filename,string,Full path to 2D file,None,Derived Keywords
L1_filename,string,Full path to L1 file,None,Derived Keywords
L2_filename,string,Full path to L2 file,None,Derived Keywords
L0_header_read_time,string,Last modification of L0 file,None,Derived Keywords
D2_header_read_time,string,Last modification of 2D file,None,Derived Keywords
L1_header_read_time,string,Last modification of L1 file,None,Derived Keywords
L2_header_read_time,string,Last modification of L2 file,None,Derived Keywords
Source,string,"Source type (e.g., 'Star' or 'Flat')",None,Derived Keywords
DATE-MID,datetime,Halfway point of the exposure (unweighted),None,L0 PRIMARY Header
DATE-BEG,datetime,Start of exposure (shutter open time),None,L0 PRIMARY Header
DATE-END,datetime,End of exposure (shutter close time),None,L0 PRIMARY Header
GRDATE-B,datetime,Green camera DATE-BEG,None,L0 PRIMARY Header
GRDATE-E,datetime,Green camera DATE-END,None,L0 PRIMARY Header
RDDATE-B,datetime,Red camera DATE-BEG,None,L0 PRIMARY Header
RDDATE-E,datetime,Red camera DATE-END,None,L0 PRIMARY Header
EMDATE-B,datetime,Exposure meter DATE-BEG,None,L0 PRIMARY Header
EMDATE-E,datetime,Exposure meter DATE-END,None,L0 PRIMARY Header
EXPTIME,float,Requested exposure time,sec,L0 PRIMARY Header
ELAPSED,float,Actual exposure time,sec,L0 PRIMARY Header
FRAMENO,int,Frame number,None,L0 PRIMARY Header
PROGNAME,string,Program name,None,L0 PRIMARY Header
HA,float,Hour angle,hr,L0 PRIMARY Header
EL,float,Telescope elevation,deg,L0 PRIMARY Header
AZ,float,Telescope azimuth,deg,L0 PRIMARY Header
OBJECT,string,Object name,None,L0 PRIMARY Header
AIRMASS,float,Airmass of target,None,L0 PRIMARY Header
OCTAGON,string,Calibration octagon source,None,L0 PRIMARY Header
IMTYPE,string,Image type,None,L0 PRIMARY Header
FFFB,string,Flat field fiber on (Yes/No),None,L0 PRIMARY Header
GREEN,string,Green camera found (Yes/No),None,L0 PRIMARY Header
RED,string,Red camera found (Yes/No),None,L0 PRIMARY Header
CA_HK,string,Ca HK camera found (Yes/No),None,L0 PRIMARY Header
EXPMETER,string,Exposure meter camera found (Yes/No),None,L0 PRIMARY Header
GUIDE,string,Guide camera found (Yes/No),None,L0 PRIMARY Header
CAL-OBJ,string,Cal fiber source,None,L0 PRIMARY Header
SKY-OBJ,string,Sky fiber source,None,L0 PRIMARY Header
SCI-OBJ,string,Science fiber source,None,L0 PRIMARY Header
AGITSTA,string,Agigator state (Running/Stopped),None,L0 PRIMARY Header
FIUMODE,string,FIU operating mode - Observing = on-sky,None,L0 PRIMARY Header
ETAV1C1T,float,Etalon housing temp (Vescent 1 Channel 1),C,L0 PRIMARY Header
ETAV1C2T,float,Etalon inner side shield temp (Vescent 1 Channel 2),C,L0 PRIMARY Header
ETAV1C3T,float,Etalon inner bottom lid temp (Vescent 1 Channel 3),C,L0 PRIMARY Header
ETAV1C4T,float,Etalon outer etalon chamber temp (Vescent 1 Channel 4),C,L0 PRIMARY Header
ETAV2C3T,float,Etalon inner top lid temp (Vescent 2 Channel 3),C,L0 PRIMARY Header
WAVEBNS,float,Wavelengths of EM bins (string of four vals),nm,L0 PRIMARY Header
TOTCNTS,float,Total EM counts in WAVEBINS,counts,L0 PRIMARY Header
TOTCORR,string,Total EM counts (corrected) in WAVEBINS,counts,L0 PRIMARY Header
USTHRSH,string,Was exposure meter thresholding used? (Yes/No),None,L0 PRIMARY Header
THRSHLD,float,Threshold level,counts,L0 PRIMARY Header
THRSBIN,float,Threshold wavelength,nm,L0 PRIMARY Header
TARGNAME,string,KPF Target name,None,L0 PRIMARY Header
DCSNAME,string,DCS Target name - may not make any sense,None,L0 PRIMARY Header
TARGRA,string,DCS Target RA,hr,L0 PRIMARY Header
TARGDEC,string,DCS Target Dec,deg,L0 PRIMARY Header
TARGEPOC,float,DCS Target epoch,None,L0 PRIMARY Header
TARGEQUI,float,DCS Target equinox,None,L0 PRIMARY Header
TARGPLAX,float,Target parallax,as,L0 PRIMARY Header
TARGPMDC,float,Target proper motion dec,as/yr,L0 PRIMARY Header
TARGPMRA,float,Target proper motion ra,s/yr,L0 PRIMARY Header
TARGRADV,float,Target radial velocity,km/s,L0 PRIMARY Header
TARGWAVE,float,Target Wavelength,microns,L0 PRIMARY Header
TARGFRAM,string,Target frame,None,L0 PRIMARY Header
FULLTARG,string,Full Target name from kpfconfig,None,L0 PRIMARY Header
GAIAID,string,GAIA Target name from kpfconfig,None,L0 PRIMARY Header
2MASSID,string,2MASS Target name from kpfconfig,None,L0 PRIMARY Header
GAIAMAG,string,GAIA G band magnitude,mag,L0 PRIMARY Header
2MASSMAG,string,2MASS J band magnitude,mag,L0 PRIMARY Header
TARGTEFF,float,Target effective temp,K,L0 PRIMARY Header
RA,string,Right ascension,hr,L0 PRIMARY Header
DEC,string,Declination,deg,L0 PRIMARY Header
EQUINOX,float,DCS Equinox,None,L0 PRIMARY Header
MJD-OBS,float,Modified Julian day of the observation start,days,L0 PRIMARY Header
BIASFILE,string,Master bias file used (except for bias exposures),None,2D PRIMARY Header
DARKFILE,string,Master dark file used (except for dark exposures),None,2D PRIMARY Header
FLATFILE,string,Master flat file used (except for flat exposures),None,2D PRIMARY Header
